Term,Type,Ontology,Synonyms,Definition,GeneratedDefinition,Examples,Explanations,Maturity
LITHUANIAN NATURAL GAS EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LJUBLJANA STOCK EXCHANGE (OFFICIAL MARKET),NamedIndividual,Markets Individuals,,,,,,release
LJUBLJANA STOCK EXCHANGE (OFFICIAL MARKET) operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LKCO,NamedIndividual,Business Centers Individuals,,,,,,release
LKR,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Sri Lanka Rupee,,,,release
LLOYDS BANK - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
LLOYDS BANK - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LLOYDS BANK CORPORATE MARKETS - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
LLOYDS BANK CORPORATE MARKETS - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LLOYDS BANK CORPORATE MARKETS WERTPAPIERHANDELSBANK GMBH - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
LLOYDS BANK CORPORATE MARKETS WERTPAPIERHANDELSBANK GMBH - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LMAX,NamedIndividual,Markets Individuals,,,,,,release
LMAX - DERIVATIVES,NamedIndividual,Markets Individuals,,,,,,release
LMAX - DERIVATIVES market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LMAX - EQUITIES,NamedIndividual,Markets Individuals,,,,,,release
LMAX - EQUITIES market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LMAX - FX,NamedIndividual,Markets Individuals,,,,,,release
LMAX - FX market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LMAX - INDICES/RATES/COMMODITIES,NamedIndividual,Markets Individuals,,,,,,release
LMAX - INDICES/RATES/COMMODITIES market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LMAX operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LME CLEAR,NamedIndividual,Markets Individuals,,,,,,release
LME CLEAR operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LMX LABS LLC,NamedIndividual,Markets Individuals,,,,,,release
LMX LABS LLC operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LONDON BULLION MARKET,NamedIndividual,Markets Individuals,,,,,,release
LONDON BULLION MARKET operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LONDON DERIVATIVES EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
LONDON DERIVATIVES EXCHANGE market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LONDON METAL EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
LONDON METAL EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LONDON PLATINUM AND PALLADIUM MARKET,NamedIndividual,Markets Individuals,,,,,,release
LONDON PLATINUM AND PALLADIUM MARKET operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LONDON STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
LONDON STOCK EXCHANGE - AIM MTF,NamedIndividual,Markets Individuals,,,,,,release
LONDON STOCK EXCHANGE - AIM MTF market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LONDON STOCK EXCHANGE - APA,NamedIndividual,Markets Individuals,,,,,,release
LONDON STOCK EXCHANGE - APA operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LONDON STOCK EXCHANGE - CURVEGLOBAL MARKETS,NamedIndividual,Markets Individuals,,,,,,release
LONDON STOCK EXCHANGE - CURVEGLOBAL MARKETS market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LONDON STOCK EXCHANGE - MTF,NamedIndividual,Markets Individuals,,,,,,release
LONDON STOCK EXCHANGE - MTF market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LONDON STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
"LONG-TERM STOCK EXCHANGE, INC.",NamedIndividual,Markets Individuals,,,,,,release
"LONG-TERM STOCK EXCHANGE, INC. operating-level market identifier",NamedIndividual,Markets Individuals,,,,,,release
LOUIS CAPITAL MARKETS EU,NamedIndividual,Markets Individuals,,,,,,release
LOUIS CAPITAL MARKETS EU market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LOUIS CAPITAL MARKETS UK,NamedIndividual,Markets Individuals,,,,,,release
LOUIS CAPITAL MARKETS UK LLP,NamedIndividual,Markets Individuals,,,,,,release
LOUIS CAPITAL MARKETS UK LLP operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LOUIS CAPITAL MARKETS UK market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LRD,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Liberian Dollar,,,,release
LSL,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Loti,,,,release
LULU,NamedIndividual,Business Centers Individuals,,,,,,release
LUMINEX TRADING & ANALYTICS LLC,NamedIndividual,Markets Individuals,,,,,,release
LUMINEX TRADING & ANALYTICS LLC - ATS,NamedIndividual,Markets Individuals,,,,,,release
LUMINEX TRADING & ANALYTICS LLC - ATS market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LUMINEX TRADING & ANALYTICS LLC operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LUMINOR BANK AS,NamedIndividual,Markets Individuals,,,,,,release
LUMINOR BANK AS operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LUSAKA STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
LUSAKA STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LUXEMBOURG STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
LUXEMBOURG STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
LVRI,NamedIndividual,Business Centers Individuals,,,,,,release
LYD,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Libyan Dinar,,,,release
LYNX ATS,NamedIndividual,Markets Individuals,,,,,,release
LYNX ATS market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
La Paz,NamedIndividual,Business Centers Individuals,,,,,,release
Labuan,NamedIndividual,Business Centers Individuals,,,,,,release
Lagos,NamedIndividual,Business Centers Individuals,,,,,,release
Lane Cove,NamedIndividual,Business Centers Individuals,,,,,,release
Lao,NamedIndividual,Business Centers Individuals,,,,,,release
Lao Kip,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Lao Kip,,,,release
Lari,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Lari,,,,release
Larnaca,NamedIndividual,Business Centers Individuals,,,,,,release
Latvian entity,NamedIndividual,Northern Europe Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Latvia,,,,release
Lebanese Pound,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Lebanese Pound,,,,release
Leipzig,NamedIndividual,Business Centers Individuals,,,,,,release
Lek,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Lek,,,,release
Lempira,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Lempira,,,,release
Leone,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Leone,,,,release
Liberian Dollar,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Liberian Dollar,,,,release
Libyan Dinar,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Libyan Dinar,,,,release
Liechtensteiner entity,NamedIndividual,Western Europe Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Liechtenstein,,,,release
Lilangeni,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Lilangeni,,,,release
Lilongwe,NamedIndividual,Business Centers Individuals,,,,,,release
Lima,NamedIndividual,Business Centers Individuals,,,,,,release
Limassol,NamedIndividual,Business Centers Individuals,,,,,,release
Linz,NamedIndividual,Business Centers Individuals,,,,,,release
Lisboa,NamedIndividual,Business Centers Individuals,,,,,,release
Lisbon,NamedIndividual,Business Centers Individuals,,,,,,release
Lithuanian entity,NamedIndividual,Northern Europe Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Lithuania,,,,release
Ljubljana,NamedIndividual,Business Centers Individuals,,,,,,release
London,NamedIndividual,Business Centers Individuals,,,,,,release
London Stock Exchange,NamedIndividual,International Financial Services Entities Ontology,,"individual representing London Stock Exchange functional entity, which is a global business and financial information services and news provider, a securities exchange, an LEI Local Operating Unit (LOU), and the SEDOL code issuer and registration authority",,,,release
London Stock Exchange UnaVista Registry,NamedIndividual,International Financial Services Entities Ontology,,individual representing the UnaVista registry service provided by the London Stock Exchange supporting LEI registration,,,,release
London Stock Exchange plc.,NamedIndividual,International Financial Services Entities Ontology,,individual representing the London Stock Exchange plc. legal entity,,,,release
London Stock Exchange plc. headquarters address,NamedIndividual,International Financial Services Entities Ontology,,individual representing the headquarters address for London Stock Exchange plc.,,,,release
London Stock Exchange plc. legal address,NamedIndividual,International Financial Services Entities Ontology,,individual representing the legal address for London Stock Exchange plc.,,,,release
London Stock Exchange plc. legal entity identifier registry entry,NamedIndividual,International Financial Services Entities Ontology,,individual representing the legal entity identifier Global LEI Index registry entry for London Stock Exchange plc.,,,,release
Los Angeles,NamedIndividual,Business Centers Individuals,,,,,,release
Loti,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Loti,,,,release
Luanda,NamedIndividual,Business Centers Individuals,,,,,,release
Lugano,NamedIndividual,Business Centers Individuals,,,,,,release
Lusaka,NamedIndividual,Business Centers Individuals,,,,,,release
Lux CSD,NamedIndividual,International Financial Services Entities Ontology,,"individual representing the Lux CSD functional entity, which provides Luxembourg's financial community with issuing and central bank settlement as well as custody services for a wide range of securities including investment funds",,,,release
Lux CSD LEI Registry,NamedIndividual,International Financial Services Entities Ontology,,individual representing the LuxCDS LEI registry; LuxCSD has been issuing ISO 17442:2012 compliant LEIs with the prefix 2221 since September 2014.,,,,release
LuxCSD S.A.,NamedIndividual,International Financial Services Entities Ontology,,individual representing the Lux CSD legal entity,,,The European Central Bank (ECB) approved LuxCSD for its Securities Settlement System (SSS).,release
LuxCSD S.A. legal entity identifier registry entry,NamedIndividual,International Financial Services Entities Ontology,,individual representing the legal entity identifier Global LEI Index registry entry for LuxCSD S.A.,,,,release
Luxembourg,NamedIndividual,Business Centers Individuals,,,,,,release
Luxembourger entity,NamedIndividual,Western Europe Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Luxembourg,,,,release
Luzern,NamedIndividual,Business Centers Individuals,,,,,,release
MA,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the designation for Massachusetts,,,,release
MACA,NamedIndividual,Business Centers Individuals,,,,,,release
MACEDONIAN STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MACEDONIAN STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE AUSTRALIA BLOCK CROSSING,NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE AUSTRALIA BLOCK CROSSING market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE BANK EUROPE DESIGNATED ACTIVITY COMPANY - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE BANK EUROPE DESIGNATED ACTIVITY COMPANY - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE BANK INTERNATIONAL LIMITED - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE BANK INTERNATIONAL LIMITED - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
"MACQUARIE BANK LIMITED, LONDON BRANCH - SYSTEMATIC INTERNALISER",NamedIndividual,Markets Individuals,,,,,,release
"MACQUARIE BANK LIMITED, LONDON BRANCH - SYSTEMATIC INTERNALISER operating-level market identifier",NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE CAPITAL (IRELAND),NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE CAPITAL (IRELAND) operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE CAPITAL EUROPE LIMITED,NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE CAPITAL EUROPE LIMITED operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE INTERNAL MARKETS (AUSTRALIA),NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE INTERNAL MARKETS (AUSTRALIA) operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE INTERNAL MARKETS (HONG KONG),NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE INTERNAL MARKETS (HONG KONG) operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE INTERNAL MARKETS (JAPAN),NamedIndividual,Markets Individuals,,,,,,release
MACQUARIE INTERNAL MARKETS (JAPAN) operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MAD,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Moroccan Dirham,,,,release
MADRAS STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MADRAS STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MAGMA ATS,NamedIndividual,Markets Individuals,,,,,,release
MAGMA ATS operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MAKOR SECURITIES LONDON LTD,NamedIndividual,Markets Individuals,,,,,,release
MAKOR SECURITIES LONDON LTD operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MALAWI STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MALAWI STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MALDIVES STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MALDIVES STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MALTA STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MALTA STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARA,NamedIndividual,Business Centers Individuals,,,,,,release
MARCHE INTERBANCAIRE DES DEVISES M.I.D.,NamedIndividual,Markets Individuals,,,,,,release
MARCHE INTERBANCAIRE DES DEVISES M.I.D. operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MAREX SPECTRON EUROPE LIMITED - OTF,NamedIndividual,Markets Individuals,,,,,,release
MAREX SPECTRON EUROPE LIMITED - OTF operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MAREX SPECTRON INTERNATIONAL LIMITED OTF,NamedIndividual,Markets Individuals,,,,,,release
MAREX SPECTRON INTERNATIONAL LIMITED OTF operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARIANA UFP LLP,NamedIndividual,Markets Individuals,,,,,,release
MARIANA UFP LLP operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKET FOR ALTERNATIVE INVESTMENT,NamedIndividual,Markets Individuals,,,,,,release
MARKET FOR ALTERNATIVE INVESTMENT market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKET FOR INVESTMENT VEHICLES,NamedIndividual,Markets Individuals,,,,,,release
MARKET FOR INVESTMENT VEHICLES market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKET SECURITIES (FRANCE) SA,NamedIndividual,Markets Individuals,,,,,,release
MARKET SECURITIES (FRANCE) SA operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS ATS,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS ATS market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS CANADA COMPANY,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS CANADA COMPANY market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS CORPORATION,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS CORPORATION MID-X TRADING SYSTEM,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS CORPORATION MID-X TRADING SYSTEM market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS CORPORATION SINGLE-NAME CDS CENTRAL LIMIT ORDER,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS CORPORATION SINGLE-NAME CDS CENTRAL LIMIT ORDER market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS CORPORATION operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS EUROPE LIMITED,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS EUROPE LIMITED - LIVE MARKETS,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS EUROPE LIMITED - LIVE MARKETS market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS EUROPE LIMITED operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS NL B.V.,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS NL B.V. - LIVE MARKETS,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS NL B.V. - LIVE MARKETS market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS NL B.V. operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS POST-TRADE B.V. - APA,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS POST-TRADE B.V. - APA operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS POST-TRADE LIMITED - APA,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS POST-TRADE LIMITED - APA operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS SEF CORPORATION,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS SEF CORPORATION market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS SINGAPORE PTE LIMITED,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS SINGAPORE PTE LIMITED - LIVE MARKETS,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS SINGAPORE PTE LIMITED - LIVE MARKETS market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MARKETAXESS SINGAPORE PTE LIMITED operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MATCH NOW,NamedIndividual,Markets Individuals,,,,,,release
MATCH NOW operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MATRIX EXCHANGE LIMITED,NamedIndividual,Markets Individuals,,,,,,release
MATRIX EXCHANGE LIMITED operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MAX MARKETS LIMITED,NamedIndividual,Markets Individuals,,,,,,release
MAX MARKETS LIMITED operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MB,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,Canadian and US-specific code for the designation for Manitoba,,,,release
MBANK S.A. - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MBANK S.A. - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MCMO,NamedIndividual,Business Centers Individuals,,,,,,release
MD,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the designation for Maryland,,,,release
MDL,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Moldovan Leu,,,,release
ME,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the designation for Maine,,,,release
MEFF FINANCIAL DERIVATIVES,NamedIndividual,Markets Individuals,,,,,,release
MEFF FINANCIAL DERIVATIVES market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MEFF FX FINANCIAL DERIVATIVES,NamedIndividual,Markets Individuals,,,,,,release
MEFF FX FINANCIAL DERIVATIVES market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MEFF POWER DERIVATIVES,NamedIndividual,Markets Individuals,,,,,,release
MEFF POWER DERIVATIVES market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MEMX LLC,NamedIndividual,Markets Individuals,,,,,,release
MEMX LLC DARK,NamedIndividual,Markets Individuals,,,,,,release
MEMX LLC DARK market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MEMX LLC operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERCADO A TERMINO DE BUENOS AIRES S.A.,NamedIndividual,Markets Individuals,,,,,,release
MERCADO A TERMINO DE BUENOS AIRES S.A. operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERCADO ABIERTO ELECTRONICO S.A.,NamedIndividual,Markets Individuals,,,,,,release
MERCADO ABIERTO ELECTRONICO S.A. operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERCADO ALTERNATIVO DE RENTA FIJA,NamedIndividual,Markets Individuals,,,,,,release
MERCADO ALTERNATIVO DE RENTA FIJA market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERCADO DE VALORES DE BUENOS AIRES S.A.,NamedIndividual,Markets Individuals,,,,,,release
MERCADO DE VALORES DE BUENOS AIRES S.A. market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERCADO DE VALORES DE CORDOBA S.A.,NamedIndividual,Markets Individuals,,,,,,release
MERCADO DE VALORES DE CORDOBA S.A. market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERCADO DE VALORES DE MENDOZA S.A.,NamedIndividual,Markets Individuals,,,,,,release
MERCADO DE VALORES DE MENDOZA S.A. market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERCADO DE VALORES DE ROSARIO S.A.,NamedIndividual,Markets Individuals,,,,,,release
MERCADO DE VALORES DE ROSARIO S.A. market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERCADO DE VALORES DEL LITORAL S.A.,NamedIndividual,Markets Individuals,,,,,,release
MERCADO DE VALORES DEL LITORAL S.A. market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERCADO ELECTRONICO DE RENTA FIJA,NamedIndividual,Markets Individuals,,,,,,release
MERCADO ELECTRONICO DE RENTA FIJA market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERCADO MEXICANO DE DERIVADOS,NamedIndividual,Markets Individuals,,,,,,release
MERCADO MEXICANO DE DERIVADOS operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERCADO ORGANIZADO DEL GAS,NamedIndividual,Markets Individuals,,,,,,release
MERCADO ORGANIZADO DEL GAS operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERCHANTS' EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MERCHANTS' EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERITKAPITAL - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MERITKAPITAL - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERJ EXCHANGE LIMITED,NamedIndividual,Markets Individuals,,,,,,release
MERJ EXCHANGE LIMITED operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERKUR MARKET - DARK POOL,NamedIndividual,Markets Individuals,,,,,,release
MERKUR MARKET - DARK POOL market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERRILL LYNCH INTERNATIONAL,NamedIndividual,Markets Individuals,,,,,,release
MERRILL LYNCH INTERNATIONAL - RFQ - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MERRILL LYNCH INTERNATIONAL - RFQ - SYSTEMATIC INTERNALISER market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERRILL LYNCH INTERNATIONAL - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
MERRILL LYNCH INTERNATIONAL - SYSTEMATIC INTERNALISER market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MERRILL LYNCH INTERNATIONAL operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MET ZURICH,NamedIndividual,Markets Individuals,,,,,,release
MET ZURICH operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,NamedIndividual,Markets Individuals,,,,,,release
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MF GLOBAL ENERGY MTF,NamedIndividual,Markets Individuals,,,,,,release
MF GLOBAL ENERGY MTF operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MGA,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Malagasy Ariary,,,,release
MI,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the designation for Michigan,,,,release
"MIAMI INTERNATIONAL HOLDINGS, INC.",NamedIndividual,Markets Individuals,,,,,,release
"MIAMI INTERNATIONAL HOLDINGS, INC. operating-level market identifier",NamedIndividual,Markets Individuals,,,,,,release
MIAMI INTERNATIONAL SECURITIES EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MIAMI INTERNATIONAL SECURITIES EXCHANGE market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
"MIAX EMERALD, LLC",NamedIndividual,Markets Individuals,,,,,,release
"MIAX EMERALD, LLC market segment-level market identifier",NamedIndividual,Markets Individuals,,,,,,release
MIAX PEARL EQUITIES,NamedIndividual,Markets Individuals,,,,,,release
MIAX PEARL EQUITIES EXCHANGE DARK,NamedIndividual,Markets Individuals,,,,,,release
MIAX PEARL EQUITIES EXCHANGE DARK market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MIAX PEARL EQUITIES market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
"MIAX PEARL, LLC",NamedIndividual,Markets Individuals,,,,,,release
"MIAX PEARL, LLC market segment-level market identifier",NamedIndividual,Markets Individuals,,,,,,release
MIBGAS - DERIVATIVES,NamedIndividual,Markets Individuals,,,,,,release
MIBGAS - DERIVATIVES market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MIC Code Scheme,NamedIndividual,Markets Individuals,,the coding scheme used to define the set of markets and exchanges corresponding to the ISO 10383 Codes for exchanges and market identification (MIC) standard,,,,release
MIC registration authority,NamedIndividual,International Registries and Authorities Ontology,ISO 10383 Registration Authority,"ISO 10383, Market Identifier Code (MIC) Registration Authority (RA) and financial service provider, appointed by the International Standards Organization (ISO), that is the official registration authority (RA) for ISO 10383, Codes for exchanges and market identification (MIC)",,,,release
MIDCHAINS,NamedIndividual,Markets Individuals,,,,,,release
MIDCHAINS operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MILLENNIUM,NamedIndividual,Markets Individuals,,,,,,release
MILLENNIUM market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MINNEAPOLIS GRAIN EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
MINNEAPOLIS GRAIN EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MITSUBISHI DIAMOND CROSSING,NamedIndividual,Markets Individuals,,,,,,release
MITSUBISHI DIAMOND CROSSING operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
MITSUBISHI UFJ TRUST INTERNATIONAL LIMITED,NamedIndividual,Markets Individuals,,,,,,release
